word,normalized
agak,sedikit
pas,saat
nggak,tidak
kagak,tidak
kgk,tidak
tdk,tidak
gak,tidak
ga,tidak
gk,tidak
egk,tidak
jd,jadi
cpt,cepat
sdh,sudah
bisa,dapat
tf,transfer
e wallet,e_wallet
bs,dapat
bsa,dapat
recommend,rekomendasi
bagis,bagus
top up,top_up
recomended,rekomendasi
recommended,rekomendasi
rekomendasi,rekomendasi
lelet,lama
lambat,lama
lola,lama
buruk,jelek
busuk,jelek
rumit,sulit
ribet,sulit
repot,sulit
susah,sulit
sh,sih
mantul,bagus
mantap,bagus
ok,bagus
oke,bagus
cs,customer_service
gw,saya
gue,saya
w,saya
q,saya
sy,saya
aq,saya
gua,saya
lu,kamu
lo,kamu
u,kamu
km,kamu
kmu,kamu
loe,kamu
yg,yang
jg,juga
trs,terus
dgn,dengan
utk,untuk
spy,supaya
skrg,sekarang
sgt,sangat
krn,karena
hrs,harus
tp,tapi
tpi,tapi
td,tadi
dr,dari
dll,dan lain lain
dsb,dan sebagainya
lg,lagi
byk,banyak
kyk,seperti
kyak,seperti
kayak,seperti
udh,sudah
udah,sudah
keren,bagus
lemot,lama
apk,aplikasi
mantab,bagus
mantaps,bagus
mantapz,bagus
